Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest (Sharpe/Clenow 70%/30% blend):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,011,839 | RS: 0.53 | N=19 | Held: 19
  [2/471] Aug 2017 | Eq:    2,126,150 | RS: 0.48 | N=17 | Held: 19
  [3/471] Sep 2017 | Eq:    2,167,927 | RS: 0.58 | N=20 | Held: 20
  [4/471] Sep 2017 | Eq:    2,250,978 | RS: 0.58 | N=20 | Held: 20
  [5/471] Sep 2017 | Eq:    2,222,283 | RS: 0.61 | N=21 | Held: 21
  [6/471] Sep 2017 | Eq:    2,231,341 | RS: 0.54 | N=19 | Held: 20
  [7/471] Sep 2017 | Eq:    2,414,411 | RS: 0.52 | N=18 | Held: 20
  [8/471] Oct 2017 | Eq:    2,477,600 | RS: 0.57 | N=20 | Held: 20
  [9/471] Oct 2017 | Eq:    2,484,317 | RS: 0.59 | N=20 | Held: 20
  [10/471] Oct 2017 | Eq:    2,515,349 | RS: 0.49 | N=17 | Held: 19
  [11/471] Oct 2017 | Eq:    2,631,416 | RS: 0.62 | N=21 | Held: 21
  [12/471] Nov 2017 | Eq:    2,643,480 | RS: 0.65 | N=22 | Held: 22
  [13/471] Nov 2017 | Eq:    2,607,509 | RS: 0.62 | N=21 | Held: 21
  [14/471] Nov 2017 | Eq:    2,638,915 | RS: 0.61 | N=21 | Held: 21
  [15/471] Nov 2017 | Eq:    2,645,512 | RS: 0.64 | N=22 | Held: 22
  [16/471] Dec 2017 | Eq:    2,672,185 | RS: 0.61 | N=21 | Held: 21
  [17/471] Dec 2017 | Eq:    2,649,884 | RS: 0.62 | N=21 | Held: 21
  [18/471] Dec 2017 | Eq:    2,731,818 | RS: 0.60 | N=21 | Held: 21
  [19/471] Dec 2017 | Eq:    2,755,097 | RS: 0.68 | N=23 | Held: 23
  [20/471] Dec 2017 | Eq:    2,844,956 | RS: 0.68 | N=23 | Held: 23
  [21/471] Jan 2018 | Eq:    2,942,437 | RS: 0.71 | N=23 | Held: 23
  [22/471] Jan 2018 | Eq:    2,869,889 | RS: 0.71 | N=23 | Held: 23
  [23/471] Jan 2018 | Eq:    2,922,677 | RS: 0.63 | N=21 | Held: 23
  [24/471] Jan 2018 | Eq:    2,674,566 | RS: 0.49 | N=18 | Held: 21
  [25/471] Feb 2018 | Eq:    2,747,662 | RS: 0.46 | N=17 | Held: 17
  [26/471] Feb 2018 | Eq:    2,771,996 | RS: 0.48 | N=17 | Held: 17
  [27/471] Feb 2018 | Eq:    2,725,087 | RS: 0.47 | N=17 | Held: 17
  [28/471] Feb 2018 | Eq:    2,714,267 | RS: 0.46 | N=17 | Held: 17
  [29/471] Mar 2018 | Eq:    2,621,129 | RS: 0.48 | N=17 | Held: 17
  [30/471] Mar 2018 | Eq:    2,650,346 | RS: 0.40 | N=15 | Held: 15
  [31/471] Mar 2018 | Eq:    2,591,892 | RS: 0.41 | N=16 | Held: 16
  [32/471] Mar 2018 | Eq:    2,594,150 | RS: 0.35 | N=14 | Held: 14
  [33/471] Mar 2018 | Eq:    2,700,870 | RS: 0.47 | N=17 | Held: 17
  [34/471] Apr 2018 | Eq:    2,696,776 | RS: 0.49 | N=17 | Held: 17
  [35/471] Apr 2018 | Eq:    2,761,173 | RS: 0.49 | N=18 | Held: 18
  [36/471] Apr 2018 | Eq:    2,819,494 | RS: 0.52 | N=18 | Held: 18
  [37/471] Apr 2018 | Eq:    2,767,634 | RS: 0.52 | N=18 | Held: 18
  [38/471] May 2018 | Eq:    2,820,575 | RS: 0.47 | N=17 | Held: 17
  [39/471] May 2018 | Eq:    2,795,280 | RS: 0.45 | N=17 | Held: 17
  [40/471] May 2018 | Eq:    2,832,396 | RS: 0.40 | N=15 | Held: 16
  [41/471] May 2018 | Eq:    2,835,041 | RS: 0.39 | N=15 | Held: 14
  [42/471] Jun 2018 | Eq:    2,837,540 | RS: 0.40 | N=15 | Held: 12
  [43/471] Jun 2018 | Eq:    2,868,222 | RS: 0.40 | N=15 | Held: 15
